ParcelID,Taxes2021,Taxes2020,Taxes2019,Taxes2018,Taxes2017,Taxes2016,Taxes2015,Mortgage Company,Mortgage.Service Co Name
30000242916,,,,,,,,7501,CORE LOGIC
5000034000,,,,,,,,,
12000033900,"1,866.05","1,576.57",,,,,,,
9000072147,"2,453.25",,,,,,,,
30000063551,,,,,,,,,
14000358000,94.58,364.65,,,,,,,
16040220400,,,,,,,,,
5000062256,,,,,,,,6300,WELLS FARGO
8000097300,,,,,,,,,
15000274600,,,,,,,,8091,POLICE & FIRE FED CREDIT UNION
38040204766,,,,,,,,,
21000201704,,,,,,,,6300,WELLS FARGO
16040121200,,,,,,,,,
12000034100,,,,,,,,,
8000031200,,,,,,,,6300,WELLS FARGO
10000179445,,,,,,,,,
5000062578,,,,,,,,6300,WELLS FARGO
46000009100,,,,,,,,,
10000179422,,,,,,,,6300,WELLS FARGO
16040071400,,,,,,,,,
36070474165,,,,,,,,7501,CORE LOGIC
25000251852,,,,,,,,,
2000278727,,,,,,,,,
5000002984,,,,,,,,,
38040204773,,,,,,,,,
15000185400,,,,,,,,,
43000103926,,,,,,,,,
21000090045,,,,,,,,,
15000272900,"2,018.13",,,,,,,,
16040159900,,,,,,,,,
16040070700,72.28,,,,,,,,
15000033300,,,,,,,,,
15000013000,,,,,,,,,
30000242914,,,,,,,,7501,CORE LOGIC
27000007345,,,,,,,,,
12000078300,,,,,,,,,
26000081339,,,,,,,,,
21000089951,,,,,,,,,
38030029700,,,,,,,,7501,CORE LOGIC
38060067100,"2,722.35",,,,,,,,
16040155200,,,,,,,,,
38020033960,,,,,,,,7501,CORE LOGIC
30000098900,,,,,,,,,
49110115100,,,,,,,,,
15000080800,,,,,,,,,
16030171800,,,,,,,,7501,CORE LOGIC
2000278755,,,,,,,,,
43000163500,,,,,,,,,
4000001792,,,,,,,,,
13000039651,,,,,,,,7501,CORE LOGIC
16040156200,,,,,,,,,
30000204671,,,,,,,,,
16040219900,,,,,,,,7501,CORE LOGIC
9000072150,"2,453.25",,,,,,,,
15000033200,,,,,,,,7501,CORE LOGIC
48000082515,,,,,,,,,
5000062655,,,,,,,,7501,CORE LOGIC
2000278613,,,,,,,,,
10000179405,,,,,,,,,
48000276210,,,,,,,,,
5000062299,,,,,,,,6300,WELLS FARGO
4000001668,,,,,,,,,
16040000700,72.32,,,,,,,,
47000049400,332.85,,,,,,,,
5000003030,,,,,,,,,
9000075200,,,,,,,,7501,CORE LOGIC
38060070200,,,,,,,,7501,CORE LOGIC
34000281100,,,,,,,,,
9000072134,,,,,,,,,
5000062558,,,,,,,,7501,CORE LOGIC
48000253764,,,,,,,,,
30000280785,,,,,,,,7501,CORE LOGIC
30000063536,,,,,,,,,
5000062870,,,,,,,,,
8000057400,,,,,,,,,
16040134500,,,,,,,,,
46000068274,314.81,500.46,526.23,529.04,560.87,589.24,509.89,,
4000001632,,,,,,,,,
38040204737,,,,,,,,,
30000280792,,,,,,,,,
22090114001,,,,,,,,7501,CORE LOGIC
8000104600,,,,,,,,7501,CORE LOGIC
22090113791,,,,,,,,,
8000092300,,,,,,,,7501,CORE LOGIC
8000031800,,,,,,,,,
5000062351,,,,,,,,,
16040164800,689.35,,,,,,,,
8000109900,,,,,,,,7501,CORE LOGIC
35000024800,,,,,,,,7501,CORE LOGIC
16040161000,,,,,,,,,
15000035000,,,,,,,,,
16130285200,,,,,,,,7501,CORE LOGIC
30000063501,,,,,,,,,
9000348801,,,,,,,,,
16040162000,,,,,,,,,
48000183031,,,,,,,,,
5000032900,,,,,,,,,
2000069800,"1,380.01",,,,,,,,
48000082502,,,,,,,,,
36070474150,,,,,,,,7501,CORE LOGIC
8000031100,,,,,,,,,
21000090004,,,,,,,,,
10000179427,,,,,,,,,
48000276266,,,,,,,,,
8000056600,,,,,,,,6455,LERETA
34000008267,,,,,,,,,
36010064429,,,,,,,,,
38060041700,,,,,,,,,
7000202500,172.97,,,,,,,,
30000280754,,,,,,,,,
8000106900,,,,,,,,7501,CORE LOGIC
38030271300,,,,,,,,,
9000361600,"3,582.86",,,,,,,,
34000008420,,,,,,,,,
16040121800,,,,,,,,,
16040002000,680.57,,,,,,,,
49110168400,,,,,,,,,
16040165300,,,,,,,,,
5000062816,,,,,,,,6455,LERETA
30000280808,,,,,,,,,
5000062024,,,,,,,,,
34000008279,,,,,,,,,
23000026809,,,,,,,,6300,WELLS FARGO
8000064100,,,,,,,,7501,CORE LOGIC
8000132300,,,,,,,,7501,CORE LOGIC
15000074500,,,,,,,,,
34000082112,,,,,,,,,
15000030200,,,,,,,,,
38060069100,"4,590.57",,,,,,,,
7000066700,718.16,,,,,,,,
16040163302,,,,,,,,,
36030170108,,,,,,,,7501,CORE LOGIC
23000026778,,,,,,,,,
2000278801,,,,,,,,,
16040123300,,,,,,,,,
15000277900,"3,359.38","2,744.54",,,,,,,
23000026618,,,,,,,,7501,CORE LOGIC
21000089931,,,,,,,,,
16040002700,,,,,,,,,
9000323600,"3,080.85",,,,,,,,
5000062070,,,,,,,,7501,CORE LOGIC
47000021900,,,,,,,,,
21000201723,,,,,,,,,
36070474270,,,,,,,,,
49080034200,,,,,,,,,
9000072162,,,,,,,,7501,CORE LOGIC
12000034800,,,,,,,,,
38060068500,,,,,,,,,
8000096200,,,,,,,,,
5000062660,,,,,,,,7501,CORE LOGIC
8000121300,,,,,,,,7501,CORE LOGIC
5000062350,,,,,,,,,
5000062496,,,,,,,,,
2000072502,,,,,,,,,
46000068297,230.77,358.86,375.66,367.06,387.79,406.26,365.02,,
30000063466,,,,,,,,7501,CORE LOGIC
22090113752,,,,,,,,,
34000068911,,,,,,,,7501,CORE LOGIC
9000072151,"2,453.25",,,,,,,,
8000006800,,,,,,,,,
49110132400,,,,,,,,,
5000062219,,,,,,,,6300,WELLS FARGO
8000092600,,,,,,,,,
38030216200,,,,,,,,,
16030172800,,,,,,,,,
16030172600,,,,,,,,,
14000155500,,,,,,,,,
8000121600,,,,,,,,,
2000081500,,,,,,,,7501,CORE LOGIC
27000053600,,,,,,,,,
9000072104,"2,239.28",,,,,,,,
38060068100,,,,,,,,,
16040133300,,,,,,,,,
9000072152,,,,,,,,,
31000110400,,,,,,,,7501,CORE LOGIC
31000175200,,,,,,,,7501,CORE LOGIC
10000196300,,,,,,,,7501,CORE LOGIC
9000072161,"2,453.25",,,,,,,,
16040001500,72.33,,,,,,,,
16040217500,,,,,,,,,
49110182000,,,,,,,,,
16040160100,,,,,,,,,
5000030800,,,,,,,,7501,CORE LOGIC
34000188876,,,,,,,,,
16040134400,,,,,,,,,
5000062203,,,,,,,,,
2000278661,,,,,,,,,
16040122100,,,,,,,,6300,WELLS FARGO
35000252200,,,,,,,,,
34000141307,,,,,,,,7501,CORE LOGIC
13000039676,,,,,,,,,
7000202300,,,,,,,,,
16040164700,,,,,,,,,
5000062836,,,,,,,,,
36070474152,,,,,,,,,
23000026655,,,,,,,,,
2000278674,,,,,,,,,
15000324500,,,,,,,,,
38040204833,,,,,,,,6455,LERETA
43000151700,,,,,,,,,
16080091000,,,,,,,,,
21000201707,,,,,,,,,
48000276225,,,,,,,,,
23000026631,,,,,,,,,
8000104800,,,,,,,,7501,CORE LOGIC
5000062293,,,,,,,,6455,LERETA
9000072131,"2,293.10",,,,,,,,
34000174126,,,,,,,,,
18000026700,,,,,,,,7501,CORE LOGIC
5000062261,,,,,,,,,
5000062654,,,,,,,,,
38040204706,,,,,,,,7501,CORE LOGIC
9000064300,"2,933.48",,,,,,,,
43000159600,,,,,,,,,
8000007800,,,,,,,,,
43000103923,,,,,,,,6300,WELLS FARGO
49110027300,,,,,,,,,
2000278746,,,,,,,,,
32000046500,,,,,,,,,
30000280755,,,,,,,,,
16040070800,72.16,,,,,,,,
16060129756,,,,,,,,,
29000066300,,,,,,,,,
5000002982,,,,,,,,7501,CORE LOGIC
15000032500,"3,367.60",,,,,,,,
36070474449,,,,,,,,,
38060112000,,,,,,,,7501,CORE LOGIC
38030221700,,,,,,,,,
5000062354,,,,,,,,7501,CORE LOGIC
38040204834,,,,,,,,6300,WELLS FARGO
49020001200,,,,,,,,,
43000171400,,,,,,,,,
34000008231,,,,,,,,,
12000034300,,,,,,,,7501,CORE LOGIC
2000190400,,,,,,,,,
15000077400,,,,,,,,,
8000069000,,,,,,,,7501,CORE LOGIC
15000035200,,,,,,,,,
13000039710,,,,,,,,,
15000276400,"2,148.23",,,,,,,,
26000081349,,,,,,,,6300,WELLS FARGO
15000279100,,,,,,,,,
41000066400,,,,,,,,7501,CORE LOGIC
10000179443,,,,,,,,,
36030170136,,,,,,,,,
16130284300,,,,,,,,,
2000169800,,,,,,,,,
5000062359,,,,,,,,7501,CORE LOGIC
25000146900,,,,,,,,,
16040072100,72.29,,,,,,,,
22090113919,,,,,,,,,
8000089500,613.86,,,,,,,,
34000008381,,,,,,,,,
48000183027,,,,,,,,,
2000278902,,,,,,,,,
23000026738,,,,,,,,,
29000066600,,,,,,,,7501,CORE LOGIC
30000242909,,,,,,,,7501,CORE LOGIC
4000037528,,,,,,,,7501,CORE LOGIC
34000188806,,,,,,,,,
38040204860,,,,,,,,6300,WELLS FARGO
34000023800,,,,,,,,,
16040220700,,,,,,,,,
5000062265,,,,,,,,6455,LERETA
34000082114,,,,,,,,6300,WELLS FARGO
48000276260,,,,,,,,,
2000278945,,,,,,,,,
8000090200,,,,,,,,,
12000034000,,,,,,,,,
38060069300,,,,,,,,7501,CORE LOGIC
10000084100,,,,,,,,,
43000103908,,,,,,,,7501,CORE LOGIC
31000111700,,,,,,,,,
34000188881,,,,,,,,7501,CORE LOGIC
21000089939,,,,,,,,,
38060069800,,,,,,,,7501,CORE LOGIC
5000062831,,,,,,,,7501,CORE LOGIC
26000081363,,,,,,,,,
15000324600,742.77,"2,269.52",,,,,,,
49110181900,,,,,,,,,
16040135700,,,,,,,,7501,CORE LOGIC
37000205627,,,,,,,,,
36070474181,,,,,,,,,
22090113858,,,,,,,,,
38040204781,,,,,,,,7501,CORE LOGIC
38030029200,,,,,,,,7501,CORE LOGIC
5000062794,,,,,,,,,
38060108400,,,,,,,,7501,CORE LOGIC
22090113747,,,,,,,,6455,LERETA
21000201754,,,,,,,,7501,CORE LOGIC
5000062892,,,,,,,,,
12000033400,,,,,,,,,
46000068213,,,,,,,,,
5000062484,,,,,,,,,
21000089953,,,,,,,,,
21000201728,,,,,,,,,
36030170150,,,,,,,,7501,CORE LOGIC
5000062357,,,,,,,,6300,WELLS FARGO
8000106400,,,,,,,,7501,CORE LOGIC
5000062804,,,,,,,,7501,CORE LOGIC
8000110000,,,,,,,,6455,LERETA
15000036100,,,,,,,,,
15000324100,,,,,,,,,
23000026643,,,,,,,,,
45000169800,"3,359.73",,,,,,,,
38050008800,,,,,,,,,
49010123100,,,,,,,,7501,CORE LOGIC
34000008443,,,,,,,,6300,WELLS FARGO
48000082520,,,,,,,,,
43000103915,,,,,,,,6300,WELLS FARGO
22010223800,,,,,,,,,
34000188868,,,,,,,,7501,CORE LOGIC
8000024601,,,,,,,,,
36070474329,,,,,,,,,
46000068201,224.32,322.35,336.82,325.27,343.16,359.09,298.35,,
9000330900,,,,,,,,,
46000068302,,,,,,,,,
36070474412,,,,,,,,7501,CORE LOGIC
8000031000,,,,,,,,6300,WELLS FARGO
8000027900,,,,,,,,7501,CORE LOGIC
8000095700,,,,,,,,7501,CORE LOGIC
5000062420,,,,,,,,,
5000062307,,,,,,,,6455,LERETA
16130247300,,,,,,,,,
5000062037,"2,824.88",,,,,,,,
43000164800,,,,,,,,,
48000253746,,,,,,,,,
33000183400,,,,,,,,7501,CORE LOGIC
5000062050,,,,,,,,,
38040204788,,,,,,,,6300,WELLS FARGO
37000205656,,,,,,,,,
5000062486,,,,,,,,6455,LERETA
23000054100,,,,,,,,6300,WELLS FARGO
21000089979,,,,,,,,,
22010021800,,,,,,,,6455,LERETA
26000107300,,,,,,,,,
7000100701,,,,,,,,,
5000062356,,,,,,,,,
15000272500,,,,,,,,,
38030228900,,,,,,,,8091,POLICE & FIRE FED CREDIT UNION
8000011000,,,,,,,,,
38030229000,,,,,,,,7501,CORE LOGIC
49090053200,131.6,566.09,,,,,,,
36030170110,,,,,,,,7501,CORE LOGIC
34000008280,,,,,,,,,
8000122000,,,,,,,,,
5000062891,,,,,,,,7501,CORE LOGIC
38060073600,,,,,,,,,
16040160800,359,,,,,,,,
15000033700,,,,,,,,,
36030170062,,,,,,,,,
5000062645,,,,,,,,,
23000026691,,,,,,,,,
8000131800,,,,,,,,,
31000141100,,,,,,,,7501,CORE LOGIC
8000019000,,,,,,,,6300,WELLS FARGO
34000008390,,,,,,,,7501,CORE LOGIC
22090114030,,,,,,,,7501,CORE LOGIC
2000278949,387.88,366.77,380.56,387.54,183.38,,,,
8000120300,,,,,,,,,
16040084300,,,,,,,,,
16060129752,,,,,,,,7501,CORE LOGIC
21000090017,,,,,,,,,
5000062667,,,,,,,,7501,CORE LOGIC
22090113870,,,,,,,,7501,CORE LOGIC
31000094200,,,,,,,,7501,CORE LOGIC
16040073000,,,,,,,,,
16040075900,,,,,,,,,
16040000200,72.44,,,,,,,,
5000002998,,,,,,,,7501,CORE LOGIC
22090113926,,,,,,,,,
9000282800,,,,,,,,7501,CORE LOGIC
8000057500,,,,,,,,,
38030195900,,,,,,,,7501,CORE LOGIC
38020072307,,,,,,,,,
15000184900,,,,,,,,,
8000092800,,,,,,,,,
16040004500,72.3,,,,,,,,
5000062008,,,,,,,,6300,WELLS FARGO
8000006500,,,,,,,,7501,CORE LOGIC
10000212900,,,,,,,,,
8000123900,,,,,,,,6300,WELLS FARGO
5000062297,,,,,,,,,
7000203300,,,,,,,,,
2000278712,86.72,,,,,,,,
15000078100,,,,,,,,,
16040085400,,,,,,,,7501,CORE LOGIC
23000179702,,,,,,,,,
21000089915,,,,,,,,,
35000025200,,,,,,,,7501,CORE LOGIC
5000062865,,,,,,,,7501,CORE LOGIC
38060006400,,,,,,,,7501,CORE LOGIC
9000072157,"2,453.25",,,,,,,,
15000079400,,,,,,,,,
34000083909,,,,,,,,,
8000008600,,,,,,,,7501,CORE LOGIC
15000035900,,,,,,,,7501,CORE LOGIC
5000003017,,,,,,,,,
34000083912,,,,,,,,,
15000185300,,,,,,,,,
48000276227,,,,,,,,,
34000008350,,,,,,,,,
13000039693,,,,,,,,,
22090113864,,,,,,,,,
5000062868,,,,,,,,7501,CORE LOGIC
5000062586,,,,,,,,,
38060068300,,,,,,,,,
8000022500,,,,,,,,7501,CORE LOGIC
15000075100,,,,,,,,,
15000034400,"1,922.29",,,,,,,,
32000030200,"2,720.26",,,,,,,,
21000079100,,,,,,,,7501,CORE LOGIC
36030170114,,,,,,,,,
5000062561,,,,,,,,,
16040221600,,,,,,,,7501,CORE LOGIC
33000000400,,,,,,,,,
49090089700,,,,,,,,7501,CORE LOGIC
16030171100,,,,,,,,7501,CORE LOGIC
9000096300,,,,,,,,7501,CORE LOGIC
38030230500,,,,,,,,7501,CORE LOGIC
16040084200,,,,,,,,,
34000246102,,,,,,,,7501,CORE LOGIC
38030123000,,,,,,,,,
8000025600,,,,,,,,,
36070474442,,,,,,,,,
34000008422,,,,,,,,,
16040154700,,,,,,,,,
36070474144,,,,,,,,,
22010035900,,,,,,,,,
23000026602,,,,,,,,,
10000179419,,,,,,,,8091,POLICE & FIRE FED CREDIT UNION
16040216200,,,,,,,,7501,CORE LOGIC
15000277200,,,,,,,,,
48000276268,,,,,,,,,
15000323800,,,,,,,,,
12000078600,,,,,,,,6455,LERETA
34000008429,,,,,,,,,
5000062225,,,,,,,,7501,CORE LOGIC
16030172700,,,,,,,,,
5000003067,,,,,,,,,
11000209700,,,,,,,,,
38060113200,,,,,,,,7501,CORE LOGIC
38030024000,,,,,,,,6455,LERETA
34000188894,,,,,,,,,
8000055300,,,,,,,,,
34000008428,,,,,,,,6300,WELLS FARGO
23000026627,,,,,,,,,
13000039672,,,,,,,,6300,WELLS FARGO
16040123500,,,,,,,,,
8000031900,,,,,,,,6300,WELLS FARGO
29000066500,"3,551.98",,,,,,,,
16040166000,,,,,,,,,
36070474201,,,,,,,,,
34000008252,,,,,,,,,
16130282100,"3,722.66",,,,,,,,
5000062567,,,,,,,,,
45000225000,,,,,,,,,
36070474182,,,,,,,,7501,CORE LOGIC
37000205644,,,,,,,,7501,CORE LOGIC
46000065200,,,,,,,,,
38040042800,,,,,,,,7501,CORE LOGIC
8000106700,,,,,,,,,
49110185100,145.64,,,,,,,,
10000146800,"1,529.63","2,515.77",,,,,,,
38040204854,,,,,,,,,
49110184400,146.16,,,,,,,,
34000174115,,,,,,,,,
10000222000,,,,,,,,,
34000008450,,,,,,,,,
8000053500,,,,,,,,,
16040156800,,,,,,,,,
48000276271,,,,,,,,,
8000020300,,,,,,,,,
47000028400,,,,,,,,,
49090089900,184.11,884.44,,,,,,,
10000083600,,,,,,,,7501,CORE LOGIC
30000242912,,,,,,,,7501,CORE LOGIC
5000062410,,,,,,,,7501,CORE LOGIC
36070474209,,,,,,,,,
25000251857,,,,,,,,6300,WELLS FARGO
5000062287,,,,,,,,,
